Rk,Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
315.0,Eric Gordon,PHI,17.0,17.1,1.6,4.8,0.341,0.8,2.8,0.277,0.9,2.1,0.429,1.0,1.3,0.773,0.2,0.8,0.9,1.3,0.6,0.3,0.8,0.8,5.1
316.0,Kyle Lowry,PHI,17.0,21.6,1.5,4.0,0.368,1.1,3.1,0.346,0.4,0.9,0.438,1.1,1.4,0.783,0.4,1.6,2.0,2.8,1.1,0.4,0.8,1.9,5.1
317.0,Cam Christie,LAC,1.0,18.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,1.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0
318.0,Ricky Council IV,PHI,19.0,12.1,1.6,4.1,0.39,0.4,1.6,0.233,1.2,2.5,0.489,1.5,1.8,0.824,0.5,1.4,1.9,0.8,0.3,0.2,0.3,0.7,5.0
319.0,Luke Kornet,BOS,20.0,17.3,1.8,2.8,0.643,0.0,0.0,,1.8,2.8,0.643,1.4,1.7,0.794,2.0,2.8,4.8,1.6,0.5,1.1,0.5,1.3,5.0
320.0,Svi Mykhailiuk,UTA,6.0,13.5,1.7,4.5,0.37,1.2,3.7,0.318,0.5,0.8,0.6,0.5,0.7,0.75,0.2,1.5,1.7,1.3,0.8,0.2,1.7,1.3,5.0
321.0,Alondes Williams,DET,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
322.0,Pat Connaughton,MIL,15.0,17.0,1.7,4.7,0.371,0.9,2.9,0.295,0.9,1.7,0.5,0.6,0.8,0.75,0.5,2.5,3.0,1.7,0.2,0.3,0.7,1.3,4.9
323.0,Paul Reed,DET,13.0,10.5,1.8,3.3,0.535,0.3,0.8,0.364,1.5,2.5,0.594,1.1,1.3,0.824,0.6,1.3,1.9,0.6,0.8,0.5,0.7,1.7,4.9
324.0,Tidjane SalaÃ¼n,CHO,22.0,19.0,1.6,5.0,0.327,1.0,3.3,0.288,0.7,1.7,0.405,0.7,1.0,0.682,0.9,3.2,4.0,1.0,0.5,0.2,0.8,1.4,4.9
325.0,Kyle Anderson,GSW,23.0,14.2,1.9,4.7,0.411,0.4,1.5,0.286,1.5,3.1,0.472,0.6,0.9,0.65,0.5,2.4,2.9,2.3,0.8,0.4,0.5,1.0,4.8
326.0,Marvin Bagley III,WAS,18.0,8.4,2.0,3.8,0.529,0.1,0.6,0.2,1.9,3.2,0.586,0.7,1.1,0.632,1.4,1.3,2.8,0.3,0.3,0.3,0.6,0.7,4.8
327.0,Mo Bamba,LAC,12.0,13.5,1.8,4.0,0.438,0.5,1.8,0.273,1.3,2.2,0.577,0.8,1.1,0.692,0.7,3.3,4.0,0.8,0.7,1.1,0.7,2.2,4.8
328.0,Julian Phillips,CHI,26.0,14.0,1.7,3.9,0.441,0.8,2.4,0.339,0.9,1.5,0.6,0.5,0.9,0.609,0.7,1.2,2.0,0.4,0.7,0.3,0.5,1.5,4.8
329.0,Jamal Shead,TOR,25.0,14.0,1.9,4.7,0.402,0.6,1.9,0.34,1.2,2.8,0.443,0.4,0.5,0.75,0.2,0.8,1.0,2.9,0.5,0.1,1.3,1.8,4.8
330.0,Taylor Hendricks,UTA,3.0,25.0,1.3,6.0,0.222,1.0,4.0,0.25,0.3,2.0,0.167,1.0,1.3,0.75,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7
331.0,Keaton Wallace,ATL,12.0,16.2,1.8,4.6,0.4,0.7,2.2,0.308,1.2,2.4,0.483,0.3,0.3,1.0,0.2,1.3,1.5,1.8,0.8,0.5,1.0,1.1,4.7
332.0,Charles Bassey,SAS,17.0,11.0,2.0,3.5,0.576,0.0,0.0,,2.0,3.5,0.576,0.6,1.2,0.524,1.5,2.5,4.1,0.5,0.4,1.2,0.7,1.4,4.6
333.0,Seth Curry,CHO,24.0,12.0,1.7,3.6,0.477,0.8,1.9,0.444,0.9,1.7,0.512,0.4,0.5,0.818,0.4,0.9,1.3,0.3,0.4,0.2,0.3,1.0,4.6
334.0,Sandro Mamukelashvili,SAS,19.0,9.6,1.6,2.9,0.545,0.9,2.0,0.447,0.7,0.9,0.765,0.6,0.8,0.733,0.6,2.3,2.9,0.4,0.2,0.3,0.5,0.6,4.6
335.0,Gary Payton II,GSW,25.0,13.4,2.1,3.9,0.541,0.2,1.2,0.138,2.0,2.8,0.71,0.2,0.4,0.545,1.3,1.6,2.8,1.2,0.8,0.4,0.6,1.4,4.6
336.0,Antonio Reeves,NOP,14.0,9.9,1.8,4.5,0.397,0.6,2.2,0.258,1.2,2.3,0.531,0.4,0.5,0.857,0.4,0.9,1.2,0.5,0.4,0.0,0.3,0.5,4.6
337.0,Drew Eubanks,UTA,20.0,13.6,1.8,3.1,0.581,0.1,0.2,0.333,1.8,3.0,0.593,0.9,1.4,0.63,1.2,2.8,4.0,1.2,0.3,0.7,0.8,1.2,4.5
338.0,Kris Murray,POR,21.0,12.7,1.8,3.8,0.475,0.5,1.6,0.333,1.3,2.2,0.574,0.4,1.0,0.4,1.0,1.2,2.3,0.7,0.4,0.1,0.6,1.0,4.5
339.0,Thomas Bryant,2TM,11.0,11.5,1.4,2.8,0.484,0.6,1.6,0.389,0.7,1.2,0.615,1.0,1.0,1.0,0.5,2.5,3.1,0.4,0.1,0.9,0.2,0.8,4.4
339.0,Thomas Bryant,MIA,10.0,11.5,1.2,2.8,0.429,0.6,1.7,0.353,0.6,1.1,0.545,1.1,1.1,1.0,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1
339.0,Thomas Bryant,IND,1.0,11.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0
